('oughtoughteingantiation', 'corpnameless #2', 'furniture', 'Home', 454.4569892473118)
('barantianticallybarought', 'corpnameless #1', 'furniture', 'Home', 462.184)
('barantianticallybarought', 'corpnameless #1', 'furniture', None, 462.184)
('barantianticallybarought', 'corpnameless #1', None, None, 462.184)
('barantianticallybarought', None, None, None, 462.184)
('barprieingoughtese', 'exportiamalgamalg #11', 'stereo', 'Electronics', 462.2506738544474)
('barprieingoughtese', 'exportiamalgamalg #11', 'stereo', None, 462.2506738544474)
('barprieingoughtese', 'exportiamalgamalg #11', None, None, 462.2506738544474)
('barprieingoughtese', None, None, None, 462.2506738544474)
('baroughtcallyn stpriought', 'exportiedu pack #1', 'kids', 'Shoes', 462.35142469470827)
('baroughtcallyn stpriought', 'exportiedu pack #1', 'kids', None, 462.35142469470827)
('baroughtcallyn stpriought', 'exportiedu pack #1', None, None, 462.35142469470827)
('baroughtcallyn stpriought', None, None, None, 462.35142469470827)
('barcallyationableable', 'importoimporto #1', 'shirts', 'Men', 462.50815217391306)
('barcallyationableable', 'importoimporto #1', 'shirts', None, 462.50815217391306)
('barcallyationableable', 'importoimporto #1', None, None, 462.50815217391306)
('barcallyationableable', None, None, None, 462.50815217391306)
('barablen stableation', 'importoscholar #1', 'country', 'Music', 462.6351531291611)
('barablen stableation', 'importoscholar #1', 'country', None, 462.6351531291611)
('barablen stableation', 'importoscholar #1', None, None, 462.6351531291611)
('barablen stableation', None, None, None, 462.6351531291611)
('antieseantin steing', 'amalgamalgamalg #7', 'disk drives', 'Electronics', 462.69054054054055)
('antieseantin steing', 'amalgamalgamalg #7', 'disk drives', None, 462.69054054054055)
('antieseantin steing', 'amalgamalgamalg #7', None, None, 462.69054054054055)
('antieseantin steing', None, None, None, 462.69054054054055)
('antieingeseantipri', 'importoscholar #2', 'country', 'Music', 462.75302013422817)
('antieingeseantipri', 'importoscholar #2', 'country', None, 462.75302013422817)
('antieingeseantipri', 'importoscholar #2', None, None, 462.75302013422817)
('antieingeseantipri', None, None, None, 462.75302013422817)
('eseantianticallyableought', 'scholarmaxi #5', 'fishing', 'Sports', 462.86155913978496)
('eseantianticallyableought', 'scholarmaxi #5', 'fishing', None, 462.86155913978496)
('eseantianticallyableought', 'scholarmaxi #5', None, None, 462.86155913978496)
('eseantianticallyableought', None, None, None, 462.86155913978496)
('callyationbarpriese', 'univamalgamalg #16', 'memory', 'Electronics', 463.0873655913978)
('callyationbarpriese', 'univamalgamalg #16', 'memory', None, 463.0873655913978)
('callyationbarpriese', 'univamalgamalg #16', None, None, 463.0873655913978)
('callyationbarpriese', None, None, None, 463.0873655913978)
