('Men', 'accessories', 'amalgimporto #1', 'ese', 'Unknown', 2, Decimal('195173.34'), 376816.0133333333)
('Music', 'rock', 'amalgscholar #1', 'able', 'Unknown', 6, Decimal('211225.65'), 381088.955)
('Men', 'accessories', 'amalgimporto #1', 'ese', 'Unknown', 4, Decimal('207899.45'), 376816.0133333333)
('Women', 'maternity', 'exportiamalg #1', 'eing', 'Unknown', 4, Decimal('210866.57'), 378699.12916666665)
('Men', 'accessories', 'amalgimporto #1', 'eing', 'Unknown', 2, Decimal('208049.48'), 375855.905)
('Men', 'accessories', 'amalgimporto #1', 'eing', 'Unknown', 4, Decimal('208324.10'), 375855.905)
('Women', 'maternity', 'exportiamalg #1', 'able', 'Unknown', 6, Decimal('211626.61'), 378776.1675)
('Shoes', 'athletic', 'edu packedu pack #1', 'ese', 'Unknown', 4, Decimal('202195.30'), 369102.2875)
('Men', 'accessories', 'amalgimporto #1', 'bar', 'Unknown', 4, Decimal('211374.66'), 377963.8425)
('Music', 'rock', 'amalgscholar #1', 'ese', 'Unknown', 3, Decimal('213900.05'), 379755.315)
('Music', 'rock', 'amalgscholar #1', 'able', 'Unknown', 3, Decimal('215557.18'), 381088.955)
('Music', 'rock', 'amalgscholar #1', 'bar', 'Unknown', 3, Decimal('215788.44'), 380916.3358333333)
('Men', 'accessories', 'amalgimporto #1', 'eing', 'Unknown', 6, Decimal('210860.15'), 375855.905)
('Women', 'maternity', 'exportiamalg #1', 'ese', 'Unknown', 3, Decimal('213601.97'), 378369.705)
('Women', 'maternity', 'exportiamalg #1', 'bar', 'Unknown', 6, Decimal('214208.28'), 378306.08166666667)
('Women', 'maternity', 'exportiamalg #1', 'bar', 'Unknown', 4, Decimal('214472.33'), 378306.08166666667)
('Women', 'maternity', 'exportiamalg #1', 'ese', 'Unknown', 7, Decimal('214683.79'), 378369.705)
('Men', 'accessories', 'amalgimporto #1', 'ese', 'Unknown', 3, Decimal('213206.07'), 376816.0133333333)
('Women', 'maternity', 'exportiamalg #1', 'eing', 'Unknown', 3, Decimal('215237.04'), 378699.12916666665)
('Shoes', 'athletic', 'edu packedu pack #1', 'bar', 'Unknown', 4, Decimal('207228.10'), 370172.7158333333)
('Music', 'rock', 'amalgscholar #1', 'eing', 'Unknown', 3, Decimal('219216.42'), 382116.02416666667)
('Music', 'rock', 'amalgscholar #1', 'ese', 'Unknown', 5, Decimal('216871.69'), 379755.315)
('Men', 'accessories', 'amalgimporto #1', 'able', 'Unknown', 5, Decimal('215393.45'), 378142.80666666664)
('Women', 'maternity', 'exportiamalg #1', 'eing', 'Unknown', 6, Decimal('216127.18'), 378699.12916666665)
('Men', 'accessories', 'amalgimporto #1', 'bar', 'Unknown', 6, Decimal('215649.00'), 377963.8425)
('Men', 'accessories', 'amalgimporto #1', 'able', 'Unknown', 6, Decimal('215830.05'), 378142.80666666664)
('Music', 'rock', 'amalgscholar #1', 'eing', 'Unknown', 6, Decimal('220024.59'), 382116.02416666667)
('Music', 'rock', 'amalgscholar #1', 'ese', 'Unknown', 4, Decimal('217767.56'), 379755.315)
('Men', 'accessories', 'amalgimporto #1', 'cally', 'Unknown', 2, Decimal('172612.46'), 334579.49083333334)
('Shoes', 'athletic', 'edu packedu pack #1', 'eing', 'Unknown', 4, Decimal('209781.82'), 371745.25916666666)
('Men', 'accessories', 'amalgimporto #1', 'able', 'Unknown', 3, Decimal('216394.15'), 378142.80666666664)
('Music', 'rock', 'amalgscholar #1', 'bar', 'Unknown', 7, Decimal('219970.56'), 380916.3358333333)
('Women', 'maternity', 'exportiamalg #1', 'cally', 'Unknown', 2, Decimal('176409.34'), 337195.1483333333)
('Music', 'rock', 'amalgscholar #1', 'bar', 'Unknown', 4, Decimal('220167.06'), 380916.3358333333)
('Music', 'rock', 'amalgscholar #1', 'eing', 'Unknown', 5, Decimal('221603.38'), 382116.02416666667)
('Men', 'accessories', 'amalgimporto #1', 'eing', 'Unknown', 3, Decimal('215920.24'), 375855.905)
('Shoes', 'athletic', 'edu packedu pack #1', 'able', 'Unknown', 4, Decimal('212142.36'), 371871.905)
('Men', 'accessories', 'amalgimporto #1', 'ese', 'Unknown', 6, Decimal('217536.56'), 376816.0133333333)
('Music', 'rock', 'amalgscholar #1', 'eing', 'Unknown', 7, Decimal('222836.72'), 382116.02416666667)
('Shoes', 'athletic', 'edu packedu pack #1', 'eing', 'Unknown', 6, Decimal('212620.86'), 371745.25916666666)
('Women', 'maternity', 'exportiamalg #1', 'ese', 'Unknown', 6, Decimal('219262.85'), 378369.705)
('Shoes', 'athletic', 'edu packedu pack #1', 'eing', 'Unknown', 5, Decimal('212991.89'), 371745.25916666666)
('Shoes', 'athletic', 'edu packedu pack #1', 'able', 'Unknown', 3, Decimal('213297.01'), 371871.905)
('Music', 'rock', 'amalgscholar #1', 'able', 'Unknown', 5, Decimal('222532.50'), 381088.955)
('Men', 'accessories', 'amalgimporto #1', 'able', 'Unknown', 4, Decimal('219835.05'), 378142.80666666664)
('Women', 'maternity', 'exportiamalg #1', 'able', 'Unknown', 3, Decimal('220605.18'), 378776.1675)
('Women', 'maternity', 'exportiamalg #1', 'ese', 'Unknown', 4, Decimal('220320.31'), 378369.705)
('Men', 'accessories', 'amalgimporto #1', 'ese', 'Unknown', 7, Decimal('218782.44'), 376816.0133333333)
('Music', 'rock', 'amalgscholar #1', 'ese', 'Unknown', 6, Decimal('221881.72'), 379755.315)
('Shoes', 'athletic', 'edu packedu pack #1', 'bar', 'Unknown', 3, Decimal('212375.69'), 370172.7158333333)
('Women', 'maternity', 'exportiamalg #1', 'bar', 'Unknown', 5, Decimal('220765.42'), 378306.08166666667)
('Women', 'maternity', 'exportiamalg #1', 'bar', 'Unknown', 3, Decimal('220790.35'), 378306.08166666667)
('Music', 'rock', 'amalgscholar #1', 'cally', 'Unknown', 2, Decimal('182371.28'), 339367.4091666667)
('Shoes', 'athletic', 'edu packedu pack #1', 'cally', 'Unknown', 2, Decimal('173522.82'), 329923.1358333333)
('Shoes', 'athletic', 'edu packedu pack #1', 'ese', 'Unknown', 6, Decimal('213207.71'), 369102.2875)
('Shoes', 'athletic', 'edu packedu pack #1', 'ese', 'Unknown', 3, Decimal('213285.96'), 369102.2875)
('Music', 'rock', 'amalgscholar #1', 'bar', 'Unknown', 6, Decimal('225588.59'), 380916.3358333333)
('Shoes', 'athletic', 'edu packedu pack #1', 'able', 'Unknown', 6, Decimal('216588.38'), 371871.905)
('Music', 'rock', 'amalgscholar #1', 'ese', 'Unknown', 7, Decimal('224548.58'), 379755.315)
('Shoes', 'athletic', 'edu packedu pack #1', 'bar', 'Unknown', 6, Decimal('215134.19'), 370172.7158333333)
('Shoes', 'athletic', 'edu packedu pack #1', 'ese', 'Unknown', 5, Decimal('214277.06'), 369102.2875)
('Music', 'rock', 'amalgscholar #1', 'bar', 'Unknown', 5, Decimal('226283.93'), 380916.3358333333)
('Shoes', 'athletic', 'edu packedu pack #1', 'eing', 'Unknown', 3, Decimal('217234.49'), 371745.25916666666)
('Women', 'maternity', 'exportiamalg #1', 'able', 'Unknown', 5, Decimal('224681.10'), 378776.1675)
('Men', 'accessories', 'amalgimporto #1', 'bar', 'Unknown', 3, Decimal('224321.56'), 377963.8425)
('Men', 'accessories', 'amalgimporto #1', 'eing', 'Unknown', 5, Decimal('222473.73'), 375855.905)
('Women', 'maternity', 'exportiamalg #1', 'bar', 'Unknown', 7, Decimal('224957.12'), 378306.08166666667)
('Men', 'accessories', 'amalgimporto #1', 'bar', 'Unknown', 5, Decimal('224649.29'), 377963.8425)
('Women', 'maternity', 'exportiamalg #1', 'eing', 'Unknown', 7, Decimal('225821.26'), 378699.12916666665)
('Shoes', 'athletic', 'edu packedu pack #1', 'ese', 'Unknown', 7, Decimal('216265.44'), 369102.2875)
('Shoes', 'athletic', 'edu packedu pack #1', 'able', 'Unknown', 5, Decimal('219265.92'), 371871.905)
('Women', 'maternity', 'exportiamalg #1', 'ese', 'Unknown', 5, Decimal('225990.90'), 378369.705)
('Shoes', 'athletic', 'edu packedu pack #1', 'able', 'Unknown', 7, Decimal('219632.98'), 371871.905)
('Men', 'accessories', 'amalgimporto #1', 'bar', 'Unknown', 7, Decimal('225893.38'), 377963.8425)
('Women', 'maternity', 'exportiamalg #1', 'able', 'Unknown', 7, Decimal('226809.32'), 378776.1675)
('Men', 'accessories', 'amalgimporto #1', 'ese', 'Unknown', 5, Decimal('224944.83'), 376816.0133333333)
('Music', 'rock', 'amalgscholar #1', 'able', 'Unknown', 7, Decimal('229226.43'), 381088.955)
('Men', 'accessories', 'amalgimporto #1', 'able', 'Unknown', 7, Decimal('226750.38'), 378142.80666666664)
('Women', 'maternity', 'exportiamalg #1', 'eing', 'Unknown', 5, Decimal('227898.88'), 378699.12916666665)
('Shoes', 'athletic', 'edu packedu pack #1', 'bar', 'Unknown', 5, Decimal('220329.86'), 370172.7158333333)
('Music', 'rock', 'amalgscholar #1', 'cally', 'Unknown', 4, Decimal('190694.88'), 339367.4091666667)
('Shoes', 'athletic', 'edu packedu pack #1', 'eing', 'Unknown', 7, Decimal('223302.65'), 371745.25916666666)
('Men', 'accessories', 'amalgimporto #1', 'eing', 'Unknown', 7, Decimal('228739.63'), 375855.905)
